date,total_cases,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF2
2004-12-27,1194,0.0,7148.0,21.0,0.0,439.0,0.0,585.0,1045,2.0,1.0,146.0,149,204.0
2005-01-03,1688,0.0,9391.0,34.0,0.0,585.0,0.0,856.0,1475,3.0,0.0,210.0,213,400.0
2005-01-10,1729,0.0,8891.0,53.0,0.0,610.0,0.0,785.0,1448,3.0,0.0,278.0,281,393.0
2005-01-17,2469,0.0,9727.0,57.0,0.0,857.0,0.0,1092.0,2006,2.0,1.0,460.0,463,438.0
2005-01-24,3283,0.0,11332.0,87.0,0.0,1145.0,0.0,1302.0,2534,5.0,1.0,743.0,749,469.0
2005-01-31,4049,0.0,12175.0,103.0,0.0,1454.0,0.0,1575.0,3132,3.0,2.0,912.0,917,411.0
2005-02-07,4315,0.0,12945.0,86.0,0.0,1346.0,0.0,1818.0,3250,5.0,4.0,1056.0,1065,406.0
2005-02-14,4534,0.0,14216.0,114.0,0.0,1410.0,0.0,1744.0,3268,2.0,0.0,1264.0,1266,399.0
2005-02-21,4057,0.0,12893.0,107.0,0.0,1247.0,0.0,1489.0,2843,7.0,0.0,1207.0,1214,364.0
2005-02-28,3403,0.0,11560.0,108.0,0.0,908.0,0.0,1316.0,2332,1.0,0.0,1070.0,1071,375.0
2005-03-07,2666,0.0,10637.0,98.0,0.0,687.0,0.0,993.0,1778,7.0,2.0,879.0,888,427.0
2005-03-14,2524,0.0,9657.0,108.0,0.0,616.0,0.0,826.0,1550,14.0,4.0,956.0,974,435.0
2005-03-21,1754,0.0,7719.0,55.0,0.0,411.0,0.0,525.0,991,6.0,0.0,757.0,763,379.0
2005-03-28,1339,0.0,6967.0,54.0,0.0,347.0,0.0,320.0,721,11.0,1.0,606.0,618,514.0
2005-04-04,994,0.0,5577.0,44.0,0.0,347.0,0.0,168.0,559,5.0,0.0,430.0,435,571.0
2005-04-11,612,0.0,4881.0,35.0,0.0,217.0,0.0,70.0,322,5.0,1.0,284.0,290,564.0
2005-04-18,605,0.0,4439.0,50.0,0.0,282.0,0.0,53.0,385,1.0,1.0,218.0,220,586.0
2005-04-25,410,0.0,3781.0,13.0,0.0,220.0,0.0,39.0,272,1.0,0.0,137.0,138,681.0
2005-05-02,407,0.0,3697.0,24.0,0.0,233.0,0.0,36.0,293,1.0,0.0,113.0,114,911.0
2005-05-09,330,0.0,3565.0,33.0,0.0,179.0,0.0,25.0,237,1.0,0.0,92.0,93,896.0
2005-05-16,615,0.0,3414.0,35.0,0.0,475.0,0.0,37.0,547,2.0,1.0,65.0,68,1012.0
2005-05-23,650,0.0,3011.0,69.0,0.0,457.0,0.0,48.0,574,1.0,0.0,75.0,76,926.0
2005-05-30,960,0.0,3459.0,76.0,0.0,716.0,0.0,60.0,852,0.0,0.0,108.0,108,1367.0
2005-06-06,751,0.0,3731.0,75.0,0.0,480.0,0.0,100.0,655,0.0,0.0,96.0,96,1612.0
2005-06-13,966,0.0,3687.0,55.0,0.0,674.0,0.0,136.0,865,0.0,0.0,101.0,101,1603.0
2005-06-20,898,0.0,3533.0,53.0,0.0,560.0,0.0,163.0,776,0.0,0.0,122.0,122,1795.0
2005-06-27,483,0.0,3702.0,10.0,0.0,216.0,0.0,181.0,407,0.0,0.0,76.0,76,1997.0
2005-07-04,517,0.0,3691.0,13.0,0.0,241.0,0.0,165.0,419,0.0,0.0,98.0,98,2127.0
2005-07-11,387,0.0,3667.0,14.0,0.0,181.0,0.0,112.0,307,0.0,0.0,80.0,80,2263.0
2005-07-18,318,0.0,3741.0,15.0,0.0,160.0,0.0,91.0,266,0.0,0.0,52.0,52,2355.0
2005-07-25,207,0.0,3601.0,2.0,0.0,85.0,0.0,76.0,163,0.0,0.0,44.0,44,2194.0
2005-08-01,164,0.0,3086.0,3.0,0.0,59.0,0.0,57.0,119,0.0,0.0,45.0,45,1863.0
2005-08-08,115,0.0,2785.0,11.0,0.0,44.0,0.0,33.0,88,0.0,0.0,27.0,27,1701.0
2005-08-15,109,0.0,2575.0,5.0,0.0,24.0,0.0,47.0,76,0.0,0.0,33.0,33,1435.0
2005-08-22,102,0.0,2850.0,2.0,0.0,34.0,0.0,35.0,71,0.0,1.0,30.0,31,1714.0
2005-08-29,124,0.0,2510.0,11.0,0.0,29.0,0.0,48.0,88,0.0,0.0,36.0,36,1387.0
2005-09-05,70,0.0,2246.0,3.0,0.0,17.0,0.0,13.0,33,0.0,0.0,37.0,37,1300.0
2005-09-12,67,0.0,2317.0,4.0,0.0,24.0,0.0,15.0,43,0.0,0.0,24.0,24,1310.0
2005-09-19,72,0.0,2142.0,8.0,0.0,19.0,0.0,12.0,39,0.0,0.0,33.0,33,1277.0
2005-09-26,94,0.0,2192.0,32.0,0.0,22.0,0.0,11.0,65,0.0,0.0,29.0,29,1203.0
2005-10-03,57,0.0,3732.0,16.0,0.0,13.0,0.0,13.0,42,0.0,0.0,15.0,15,935.0
2005-10-10,93,0.0,4287.0,47.0,0.0,15.0,0.0,9.0,71,0.0,0.0,22.0,22,725.0
2005-10-17,174,0.0,4989.0,72.0,0.0,19.0,2.0,24.0,117,0.0,0.0,57.0,57,849.0
2005-10-24,183,0.0,5225.0,113.0,0.0,19.0,0.0,27.0,159,0.0,0.0,24.0,24,669.0
2005-10-31,241,0.0,5463.0,145.0,0.0,34.0,0.0,19.0,198,0.0,0.0,43.0,43,671.0
2005-11-07,296,0.0,6120.0,144.0,0.0,66.0,0.0,48.0,258,0.0,0.0,38.0,38,572.0
2005-11-14,368,0.0,6658.0,191.0,0.0,59.0,0.0,52.0,302,0.0,0.0,66.0,66,666.0
2005-11-21,342,0.0,5663.0,198.0,0.0,62.0,0.0,50.0,310,0.0,0.0,32.0,32,569.0
2005-11-28,418,0.0,6604.0,216.0,0.0,103.0,0.0,81.0,400,0.0,0.0,18.0,18,596.0
2005-12-05,542,0.0,6792.0,205.0,0.0,185.0,0.0,112.0,502,0.0,0.0,40.0,40,433.0
2005-12-12,754,0.0,7669.0,230.0,0.0,324.0,0.0,153.0,707,0.0,0.0,47.0,47,403.0
2005-12-19,1145,0.0,8303.0,218.0,0.0,458.0,0.0,396.0,1072,0.0,0.0,73.0,73,326.0
2005-12-26,1146,0.0,8144.0,200.0,0.0,472.0,0.0,359.0,1031,0.0,0.0,115.0,115,303.0
2006-01-02,1017,42.0,8353.0,144.0,0.0,412.0,0.0,317.0,873,0.0,1.0,143.0,144,281.0
2006-01-09,1514,52.0,10095.0,249.0,0.0,711.0,0.0,381.0,1341,1.0,0.0,172.0,173,316.0
2006-01-16,1841,60.0,9828.0,295.0,0.0,960.0,0.0,393.0,1648,0.0,0.0,193.0,193,306.0
2006-01-23,1847,55.0,9342.0,216.0,0.0,886.0,0.0,472.0,1574,0.0,0.0,273.0,273,332.0
2006-01-30,1768,37.0,9036.0,198.0,0.0,662.0,0.0,520.0,1380,0.0,1.0,387.0,388,345.0
2006-02-06,1988,39.0,9729.0,249.0,0.0,582.0,0.0,604.0,1435,0.0,0.0,553.0,553,283.0
2006-02-13,2269,47.0,10122.0,272.0,0.0,574.0,0.0,734.0,1580,0.0,0.0,689.0,689,281.0
2006-02-20,2538,26.0,11241.0,305.0,0.0,525.0,0.0,860.0,1690,0.0,1.0,847.0,848,263.0
2006-02-27,2761,51.0,10976.0,304.0,0.0,579.0,0.0,892.0,1775,0.0,0.0,986.0,986,269.0
2006-03-06,2735,62.0,11282.0,329.0,0.0,542.0,0.0,924.0,1795,0.0,0.0,940.0,940,351.0
2006-03-13,2430,29.0,10180.0,288.0,0.0,399.0,0.0,693.0,1380,0.0,0.0,1050.0,1050,356.0
2006-03-20,2250,48.0,10147.0,288.0,0.0,275.0,0.0,671.0,1234,0.0,0.0,1016.0,1016,351.0
2006-03-27,1866,43.0,8688.0,252.0,0.0,229.0,0.0,433.0,914,0.0,0.0,952.0,952,382.0
2006-04-03,1229,44.0,6529.0,208.0,0.0,165.0,0.0,315.0,688,0.0,0.0,541.0,541,394.0
2006-04-10,839,33.0,5385.0,115.0,0.0,128.0,0.0,208.0,451,0.0,1.0,387.0,388,305.0
2006-04-17,706,33.0,4903.0,158.0,0.0,86.0,0.0,123.0,367,0.0,0.0,339.0,339,459.0
2006-04-24,416,98.0,3949.0,85.0,0.0,30.0,0.0,88.0,203,0.0,0.0,213.0,213,585.0
2006-05-01,320,104.0,2683.0,75.0,0.0,24.0,0.0,70.0,169,0.0,1.0,150.0,151,597.0
2006-05-08,300,115.0,2605.0,78.0,0.0,16.0,0.0,64.0,158,1.0,0.0,141.0,142,709.0
2006-05-15,299,145.0,2424.0,83.0,0.0,43.0,0.0,51.0,177,0.0,1.0,121.0,122,933.0
2006-05-22,311,133.0,1840.0,125.0,0.0,67.0,0.0,48.0,240,0.0,0.0,71.0,71,1235.0
2006-05-29,289,136.0,2178.0,120.0,0.0,19.0,0.0,84.0,223,0.0,1.0,65.0,66,1402.0
2006-06-05,366,147.0,2415.0,152.0,0.0,47.0,0.0,113.0,312,1.0,3.0,50.0,54,1672.0
